Año,Mes,Departamento,Victimario,Edad,Lugar de los hechos,Metodos de eliminacion
2017,Agosto,Meta,Victimario Desconocido,29,Via rural,Apuñalada
2017,Agosto,Meta,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Agosto,Meta,Conocido,39,Vivienda de la victima,Apuñalada
2017,Agosto,Meta,Victimario Desconocido,29,Zona rural,Metodo Desconocido
2017,Agosto,Meta,Victimario Desconocido,62,Via urbana,Baleada
2017,Agosto,Guajira,Compañero permanente,29,Lugar Desconocido,Apuñalada
2017,Agosto,Guajira,Victimario Desconocido,20,Vivienda de la victima,Apuñalada
2017,Agosto,Guajira,Excompañero permanente,37,Vivienda de la victima,Metodo Desconocido
2017,Agosto,Guajira,Victimario Desconocido,51,Via urbana,Baleada
2017,Agosto,Guajira,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Agosto,Guajira,Compañero permanente,29,Vivienda de la victima,Apuñalada
2017,Agosto,Tolima,Victimario Desconocido,18,Zona rural,Baleada
2017,Agosto,Tolima,Compañero permanente,29,Via urbana,Metodo Desconocido
2017,Agosto,Tolima,Victimario Desconocido,34,Vivienda de la victima,Apuñalada
2017,Agosto,Tolima,Victimario Desconocido,8,Via urbana,Golpeada
2017,Agosto,Tolima,Compañero permanente,29,Vivienda de la victima,Baleada
2017,Agosto,Tolima,Victimario Desconocido,33,En una calle del barrio de la victima,Apuñalada
2017,Agosto,Valle del Cauca,Compañero permanente,36,Lugar Desconocido,Apuñalada
2017,Agosto,Valle del Cauca,Victimario Desconocido,19,Via urbana,Baleada
2017,Agosto,Valle del Cauca,Victimario Desconocido,29,Via rural,Baleada
2017,Agosto,Valle del Cauca,Compañero permanente,24,Via urbana,Metodo Desconocido
2017,Agosto,Valle del Cauca,Victimario Desconocido,30,Vivienda de la victima,Apuñalada
2017,Agosto,Valle del Cauca,Conyuge,57,Via urbana,Baleada
2017,Agosto,Valle del Cauca,Conocido,38,Vivienda de la victima,Apuñalada
2017,Agosto,Valle del Cauca,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Agosto,Valle del Cauca,Excompañero permanente,23,Zona rural,Baleada
2017,Agosto,Valle del Cauca,Compañero permanente,27,Via urbana,Golpeada
2017,Agosto,Valle del Cauca,Victimario Desconocido,29,Zona rural,Asfixiada
2017,Agosto,Valle del Cauca,Exnovio,29,En una calle del barrio de la victima,Baleada
2017,Agosto,Valle del Cauca,Victimario Desconocido,30,Via urbana,Baleada
2017,Agosto,Valle del Cauca,Victimario Desconocido,31,Lugar Desconocido,Metodo Desconocido
2017,Agosto,Valle del Cauca,Victimario Desconocido,29,En una calle del barrio de la victima,Baleada
2017,Septiembre,Valle del Cauca,Victimario Desconocido,44,Via urbana,Baleada
2017,Septiembre,Huila,Exnovio,29,Via urbana,Metodo Desconocido
2017,Septiembre,Huila,Victimario Desconocido,36,Quebrada o rio,Apuñalada
2017,Septiembre,Tolima,Victimario Desconocido,40,Vivienda de la victima,Apuñalada
2017,Septiembre,Tolima,Familiar,65,Vivienda de la victima,Apuñalada
2017,Septiembre,Cordoba,Victimario Desconocido,32,Zona rural,Baleada
2017,Septiembre,Antioquia,Familiar,34,Lugar Desconocido,Baleada
2017,Septiembre,Antioquia,Familiar,45,Lugar Desconocido,Baleada
2017,Septiembre,Bogota,Compañero permanente,23,Via urbana,Apuñalada
2017,Septiembre,Valle del Cauca,Victimario Desconocido,29,Via urbana,Baleada
2017,Septiembre,Valle del Cauca,Banda criminal,37,Via urbana,Baleada
2017,Septiembre,Valle del Cauca,Banda criminal,29,Via urbana,Baleada
2017,Septiembre,Nariño,Conocido,30,Transporte privado,Baleada
2017,Septiembre,Huila,Novio,17,Zona rural,Degollada
2017,Septiembre,Guajira,Victimario Desconocido,22,Vivienda de la victima,Baleada
2017,Septiembre,Valle del Cauca,Banda criminal,88,Vivienda de la victima,Asfixiada
2017,Septiembre,Antioquia,Conocido,23,Vivienda del victimario,Apuñalada
2017,Septiembre,Antioquia,Victimario Desconocido,41,Via urbana,Baleada
2017,Septiembre,Tolima,Compañero permanente,29,Vivienda de la victima,Golpeada
2017,Septiembre,Bogota,Victimario Desconocido,18,Via urbana,Baleada
2017,Septiembre,Tolima,Compañero permanente,29,Via urbana,Metodo Desconocido
2017,Septiembre,Antioquia,Banda criminal,29,Via urbana,Metodo Desconocido
2017,Septiembre,Antioquia,Banda criminal,48,Via urbana,Baleada
2017,Septiembre,Atlantico,Victimario Desconocido,56,Vivienda de la victima,Golpeada
2017,Septiembre,Valle del Cauca,Banda criminal,29,Via urbana,Baleada
2017,Septiembre,Norte de Santander,Victimario Desconocido,29,Via urbana,Baleada
2017,Septiembre,Nariño,Victimario Desconocido,52,Vivienda de la victima,Apuñalada
2017,Septiembre,Bogota,Excompañero permanente,32,En una calle del barrio de la victima,Baleada
2017,Septiembre,Bogota,Conocido,26,Vivienda de la victima,Baleada
2017,Septiembre,Antioquia,Victimario Desconocido,14,Via urbana,Baleada
2017,Septiembre,Cordoba,Victimario Desconocido,22,Via urbana,Baleada
2017,Septiembre,Cordoba,Victimario Desconocido,36,Vivienda de la victima,Apuñalada
2017,Septiembre,Cordoba,Conyuge,29,Vivienda de la victima,Degollada
2017,Septiembre,Santander,Victimario Desconocido,54,Via urbana,Baleada
2017,Septiembre,Santander,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Septiembre,Antioquia,Victimario Desconocido,20,Via urbana,Baleada
2017,Septiembre,Santander,Conyuge,29,Vivienda de la victima,Baleada
2017,Septiembre,Atlantico,Victimario Desconocido,37,Vivienda de la victima,Asfixiada
2017,Septiembre,Guajira,Banda criminal,7,Via urbana,Apuñalada
2017,Septiembre,Bogota,Conocido,29,Vivienda de la victima,Apuñalada
2017,Septiembre,Antioquia,Familiar,4,Vivienda de la victima,Golpeada
2017,Septiembre,Bogota,Victimario Desconocido,42,Via urbana,Baleada
2017,Octubre,Antioquia,Victimario Desconocido,29,Via urbana,Metodo Desconocido
2017,Octubre,Huila,Victimario Desconocido,24,Vivienda de la victima,Asfixiada
2017,Octubre,Guajira,Banda criminal,2,Via urbana,Baleada
2017,Octubre,Bogota,Banda criminal,29,Via urbana,Baleada
2017,Octubre,Bogota,Excompañero permanente,29,Vivienda de la victima,Metodo Desconocido
2017,Octubre,Tolima,Victimario Desconocido,31,Lugar de trabajo de la victima,Baleada
2017,Octubre,Antioquia,Victimario Desconocido,29,Via urbana,Metodo Desconocido
2017,Octubre,Antioquia,Victimario Desconocido,29,Via urbana,Metodo Desconocido
2017,Octubre,Valle del Cauca,Victimario Desconocido,30,Vivienda de un tercero,Apuñalada
2017,Octubre,Valle del Cauca,Banda criminal,17,Vivienda de la victima,Baleada
2017,Octubre,Valle del Cauca,Victimario Desconocido,21,Via urbana,Degollada
2017,Octubre,Valle del Cauca,Victimario Desconocido,27,Via urbana,Degollada
2017,Octubre,Antioquia,Victimario Desconocido,67,Vivienda de la victima,Apuñalada
2017,Octubre,Norte de Santander,Banda criminal,25,En una calle del barrio de la victima,Baleada
2017,Octubre,Cauca,Militar,29,Zona rural,Baleada
2017,Octubre,Atlantico,Victimario Desconocido,27,Via rural,Baleada
2017,Octubre,Antioquia,Victimario Desconocido,53,Lugar de trabajo de la victima,Apuñalada
2017,Octubre,Valle del Cauca,Victimario Desconocido,58,Lugar Desconocido,Apuñalada
2017,Octubre,Valle del Cauca,Victimario Desconocido,29,Lugar Desconocido,Baleada
2017,Octubre,Valle del Cauca,Victimario Desconocido,29,Via urbana,Golpeada
2017,Octubre,Valle del Cauca,Victimario Desconocido,22,Zona rural,Apuñalada
2017,Octubre,Valle del Cauca,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Octubre,Valle del Cauca,Victimario Desconocido,29,Via urbana,Golpeada
2017,Octubre,Bogota,Compañero permanente,39,Vivienda de la victima,Baleada
2017,Octubre,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Octubre,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Octubre,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Octubre,Bogota,Victimario Desconocido,29,Via urbana,Baleada
2017,Octubre,Tolima,Sicario,29,Zona rural,Baleada
2017,Octubre,Valle del Cauca,Conocido,45,Vivienda de la victima,Baleada
2017,Octubre,Nariño,Victimario Desconocido,25,Via urbana,Baleada
2017,Octubre,Cundinamarca,Victimario Desconocido,67,Vivienda de la victima,Asfixiada
2017,Octubre,Bogota,Conocido,27,Via urbana,Degollada
2017,Octubre,Cauca,Sicario,82,Vivienda de la victima,Golpeada
2017,Octubre,Valle del Cauca,Compañero permanente,23,Vivienda de la victima,Apuñalada
2017,Octubre,Valle del Cauca,Excompañero permanente,26,Via rural,Baleada
2017,Octubre,Cesar,Sicario,37,Vivienda de la victima,Baleada
2017,Octubre,Bogota,Victimario Desconocido,20,Vivienda de la victima,Apuñalada
2017,Octubre,Bogota,Victimario Desconocido,47,Via urbana,Golpeada
2017,Octubre,Antioquia,Victimario Desconocido,29,Vivienda de la victima,Apuñalada
2017,Octubre,Meta,Victimario Desconocido,29,Zona rural,Metodo Desconocido
2017,Octubre,Norte de Santander,Sicario,30,Via rural,Metodo Desconocido
2017,Octubre,Antioquia,Victimario Desconocido,29,Hotel,Asfixiada
2017,Octubre,Nariño,Victimario Desconocido,25,Zona rural,Baleada
2017,Octubre,Santander,Victimario Desconocido,31,Via urbana,Metodo Desconocido
2017,Octubre,Tolima,Sicario,38,En una calle del barrio de la victima,Baleada
2017,Octubre,Antioquia,Victimario Desconocido,20,Zona rural,Estrangulada
2017,Octubre,Cauca,Banda criminal,29,Via urbana,Baleada
2017,Noviembre,Casanare,Banda criminal,67,Vivienda de la victima,Baleada
2017,Noviembre,Nariño,Novio,22,Via urbana,Apuñalada
2017,Noviembre,Caqueta,Sicario,56,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Guajira,Sicario,52,Zona rural,Baleada
2017,Noviembre,Antioquia,Familiar,34,Vivienda de la victima,Baleada
2017,Noviembre,Antioquia,Excompañero permanente,29,Vivienda de un tercero,Baleada
2017,Noviembre,Antioquia,Sicario,34,Via urbana,Baleada
2017,Noviembre,Atlantico,Compañero permanente,37,Vivienda de la victima,Asfixiada
2017,Noviembre,Cauca,Sicario,29,Vehiculo particular,Baleada
2017,Noviembre,Casanare,Compañero permanente,29,Vivienda de la victima,Apuñalada
2017,Noviembre,Casanare,Familiar,15,Vivienda de la victima,Apuñalada
2017,Noviembre,Cesar,Victimario Desconocido,25,Via urbana,Baleada
2017,Noviembre,Valle del Cauca,Victimario Desconocido,25,Iglesia,Baleada
2017,Noviembre,Bogota,Victimario Desconocido,29,Vivienda de un tercero,Estrangulada
2017,Noviembre,Valle del Cauca,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Noviembre,Norte de Santander,Victimario Desconocido,29,Zona rural,Metodo Desconocido
2017,Noviembre,Valle del Cauca,Sicario,29,Via urbana,Baleada
2017,Noviembre,Valle del Cauca,Compañero permanente,68,Vivienda de la victima,Apuñalada
2017,Noviembre,Antioquia,Compañero permanente,29,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Atlantico,Novio,29,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Valle del Cauca,Victimario Desconocido,56,Vivienda de la victima,Apuñalada
2017,Noviembre,Nariño,Sicario,48,En una calle del barrio de la victima,Baleada
2017,Noviembre,Norte de Santander,Victimario Desconocido,20,Via urbana,Baleada
2017,Noviembre,Sucre,Victimario Desconocido,29,Lugar Desconocido,Estrangulada
2017,Noviembre,Valle del Cauca,Victimario Desconocido,37,Via rural,Metodo Desconocido
2017,Noviembre,Tolima,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Noviembre,Antioquia,Victimario Desconocido,30,Via rural,Metodo Desconocido
2017,Noviembre,Valle del Cauca,Compañero permanente,29,Via urbana,Baleada
2017,Noviembre,Huila,Victimario Desconocido,38,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Bogota,Compañero permanente,30,Vivienda de la victima,Apuñalada
2017,Noviembre,Bogota,Victimario Desconocido,29,Via urbana,Apuñalada
2017,Noviembre,Nariño,Victimario Desconocido,24,Via urbana,Baleada
2017,Noviembre,Huila,Exnovio,17,Zona rural,Apuñalada
2017,Noviembre,Antioquia,Victimario Desconocido,34,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Antioquia,Victimario Desconocido,25,Vivienda de la victima,Baleada
2017,Noviembre,Antioquia,Victimario Desconocido,51,Via rural,Baleada
2017,Noviembre,Bogota,Victimario Desconocido,46,Via urbana,Baleada
2017,Noviembre,Cesar,Victimario Desconocido,22,Zona rural,Metodo Desconocido
2017,Noviembre,Cundinamarca,Victimario Desconocido,70,Zona rural,Metodo Desconocido
2017,Noviembre,Cundinamarca,Victimario Desconocido,48,Zona rural,Metodo Desconocido
2017,Noviembre,Atlantico,Compañero permanente,37,Vivienda de la victima,Asfixiada
2017,Noviembre,Cordoba,Victimario Desconocido,29,Vivienda de la victima,Apuñalada
2017,Noviembre,Antioquia,Victimario Desconocido,29,Hotel,Asfixiada
2017,Noviembre,Antioquia,Victimario Desconocido,29,Hotel,Metodo Desconocido
2017,Noviembre,Atlantico,Compañero permanente,37,Vivienda de la victima,Estrangulada
2017,Noviembre,Valle del Cauca,Novio,24,Zona rural,Baleada
2017,Noviembre,Santander,Victimario Desconocido,20,Local comercial,Apuñalada
2017,Noviembre,Meta,Sicario,18,Vivienda de la victima,Baleada
2017,Noviembre,Cordoba,Victimario Desconocido,29,Lugar Desconocido,Apuñalada
2017,Noviembre,Antioquia,Novio,29,Vivienda de la victima,Metodo Desconocido
2017,Noviembre,Antioquia,Victimario Desconocido,18,Lugar Desconocido,Baleada
2017,Noviembre,Cauca,Victimario Desconocido,62,Vivienda de la victima,Asfixiada
2017,Noviembre,Caqueta,Victimario Desconocido,19,Vivienda de la victima,Baleada
2017,Noviembre,Cauca,Victimario Desconocido,2,Lugar Desconocido,Golpeada
2017,Noviembre,Bogota,Victimario Desconocido,29,Via urbana,Golpeada
2017,Noviembre,Cundinamarca,Banda criminal,33,Vivienda de la victima,Baleada
2017,Noviembre,Cauca,Victimario Desconocido,14,Lugar Desconocido,Metodo Desconocido
2017,Diciembre,Antioquia,Conocido,31,Via urbana,Baleada
2017,Diciembre,Atlantico,Compañero permanente,29,Carcel,Apuñalada
2017,Diciembre,Santander,Familiar,80,Zona rural,Apuñalada
2017,Diciembre,Cordoba,Compañero permanente,29,Lugar Desconocido,Metodo Desconocido
2017,Diciembre,Norte de Santander,Victimario Desconocido,22,Via rural,Baleada
2017,Diciembre,Nariño,Banda criminal,22,Via urbana,Metodo Desconocido
2017,Diciembre,Cordoba,Novio,29,Via urbana,Apuñalada
2017,Diciembre,Sucre,Exnovio,34,Zona rural,Apuñalada
2017,Diciembre,Norte de Santander,Victimario Desconocido,22,Zona rural,Baleada
2017,Diciembre,Cauca,Exnovio,23,Via urbana,Baleada
2017,Diciembre,Cundinamarca,Compañero permanente,29,Zona rural,Baleada
2017,Diciembre,Valle del Cauca,Exnovio,29,Vivienda de la victima,Apuñalada
2017,Diciembre,Antioquia,Victimario Desconocido,23,Via urbana,Baleada
2017,Diciembre,Sucre,Conocido,12,Via rural,Apuñalada
2017,Diciembre,Santander,Conocido,43,Via urbana,Apuñalada
2017,Diciembre,Nariño,Familiar,50,Vivienda de la victima,Apuñalada
2017,Diciembre,Cauca,Banda criminal,20,Via rural,Metodo Desconocido
2017,Diciembre,Cauca,Victimario Desconocido,29,Vivienda de la victima,Baleada
2017,Diciembre,Valle del Cauca,Sicario,53,Via urbana,Baleada
2017,Diciembre,Huila,Conocido,29,Via urbana,Metodo Desconocido
2017,Diciembre,Bogota,Victimario Desconocido,30,Via urbana,Baleada
2017,Diciembre,Norte de Santander,Victimario Desconocido,20,Zona rural,Metodo Desconocido
2017,Diciembre,Norte de Santander,Victimario Desconocido,39,Vivienda de la victima,Baleada
2017,Diciembre,Norte de Santander,Victimario Desconocido,18,Zona rural,Metodo Desconocido
2017,Diciembre,Nariño,Victimario Desconocido,72,Vivienda de la victima,Baleada
2017,Diciembre,Cauca,Victimario Desconocido,29,Vivienda de la victima,Baleada
2017,Diciembre,Antioquia,Excompañero permanente,40,Vivienda de la victima,Apuñalada
2017,Diciembre,Bogota,Excompañero permanente,26,Vivienda de la victima,Baleada
2017,Diciembre,Meta,Sicario,41,Local comercial,Baleada
2017,Diciembre,Cordoba,Victimario Desconocido,75,Vivienda de la victima,Golpeada
2017,Diciembre,Huila,Victimario Desconocido,17,Via urbana,Baleada
2017,Diciembre,Nariño,Victimario Desconocido,33,Vivienda de la victima,Estrangulada
2017,Diciembre,Atlantico,Victimario Desconocido,18,Zona rural,Decapitada
2017,Diciembre,Valle del Cauca,Victimario Desconocido,27,Local comercial,Explosion
2017,Diciembre,Antioquia,Victimario Desconocido,47,Zona rural,Apuñalada
2017,Diciembre,Antioquia,Conocido,13,Vivienda de la victima,Apuñalada
2017,Diciembre,Guajira,Victimario Desconocido,29,Via urbana,Baleada
2017,Diciembre,Putumayo,Victimario Desconocido,8,Via urbana,Baleada
2017,Diciembre,Antioquia,Excompañero permanente,29,Via urbana,Apuñalada
2017,Diciembre,Valle del Cauca,Compañero permanente,23,Vivienda de un tercero,Apuñalada
2017,Diciembre,Antioquia,Victimario Desconocido,71,Zona rural,Golpeada
2017,Diciembre,Antioquia,Victimario Desconocido,45,Via urbana,Apuñalada
2017,Diciembre,Putumayo,Victimario Desconocido,10,Lugar Desconocido,Golpeada
2017,Diciembre,Santander,Victimario Desconocido,30,Via urbana,Baleada
2017,Diciembre,Antioquia,Compañero permanente,83,Vivienda de la victima,Apuñalada
2017,Diciembre,Antioquia,Victimario Desconocido,40,Lugar Desconocido,Golpeada
2017,Diciembre,Bogota,Compañero permanente,37,En una calle del barrio de la victima,Baleada
2017,Diciembre,Cundinamarca,Victimario Desconocido,82,Vivienda de la victima,Metodo Desconocido
2017,Diciembre,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2017,Diciembre,Antioquia,Victimario Desconocido,29,Zona rural,Golpeada
2018,Enero,Antioquia,Compañero permanente,29,Lugar Desconocido,Apuñalada
2018,Enero,Boyaca,Compañero permanente,29,Lugar Desconocido,Baleada
2018,Enero,Santander,Victimario Desconocido,21,Lugar Desconocido,Baleada
2018,Enero,Huila,Victimario Desconocido,24,Lugar Desconocido,Baleada
2018,Enero,Antioquia,Victimario Desconocido,24,Lugar Desconocido,Baleada
2018,Enero,Valle del Cauca,Sicario,25,Lugar Desconocido,Baleada
2018,Enero,Valle del Cauca,Victimario Desconocido,14,Lugar Desconocido,Metodo Desconocido
2018,Enero,Valle del Cauca,Victimario Desconocido,14,Lugar Desconocido,Metodo Desconocido
2018,Enero,Cordoba,Victimario Desconocido,17,Lugar Desconocido,Metodo Desconocido
2018,Enero,Antioquia,Victimario Desconocido,27,Lugar Desconocido,Metodo Desconocido
2018,Enero,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2018,Enero,Antioquia,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2018,Enero,Cauca,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2018,Enero,Choco,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2018,Enero,Cordoba,Victimario Desconocido,29,Lugar Desconocido,Metodo Desconocido
2018,Enero,Cauca,Victimario Desconocido,28,Lugar Desconocido,Metodo Desconocido
2018,Enero,Sucre,Sicario,25,En una calle del barrio de la victima,Baleada
2018,Enero,Cauca,Sicario,29,En una calle del barrio de la victima,Baleada
2018,Enero,Bolivar,Conyuge,24,En una calle del barrio de la victima,Apuñalada
2018,Enero,Antioquia,Excompañero permanente,22,En una calle del barrio de la victima,Baleada
2018,Enero,Valle del Cauca,Compañero permanente,19,Hotel,Baleada
2018,Enero,Valle del Cauca,Victimario Desconocido,29,Hotel,Baleada
2018,Enero,Valle del Cauca,Victimario Desconocido,29,Hotel,Metodo Desconocido
2018,Enero,Meta,Compañero permanente,25,Hotel,Apuñalada
2018,Enero,Valle del Cauca,Victimario Desconocido,43,Hotel,Apuñalada
2018,Enero,Valle del Cauca,Excompañero permanente,29,Local comercial,Apuñalada
2018,Enero,Cundinamarca,Sicario,25,Local comercial,Apuñalada
2018,Enero,Antioquia,Sicario,29,Local comercial,Baleada
2018,Enero,Valle del Cauca,Sicario,62,Quebrada o rio,Baleada
2018,Enero,Guajira,Estructuras del narcotrafico,39,Via rural,Baleada
2018,Enero,Huila,Estructuras armadas,41,Via rural,Baleada
2018,Enero,Valle del Cauca,Victimario Desconocido,19,Via rural,Baleada
2018,Enero,Cundinamarca,Conocido,34,Via urbana,Apuñalada
2018,Enero,Norte de Santander,Conyuge,22,Via urbana,Baleada
2018,Enero,Bolivar,Victimario Desconocido,7,Via urbana,Baleada
2018,Enero,Antioquia,Excompañero permanente,32,Via urbana,Baleada
2018,Enero,Valle del Cauca,Militar,29,Via urbana,Baleada
2018,Enero,Nariño,Sicario,13,Via urbana,Baleada
2018,Enero,Nariño,Sicario,14,Via urbana,Baleada
2018,Enero,Norte de Santander,Victimario Desconocido,76,Vivienda de la victima,Metodo Desconocido
2018,Enero,Cordoba,Victimario Desconocido,39,Vivienda de la victima,Apuñalada
2018,Enero,Atlantico,Excompañero permanente,29,Vivienda de la victima,Apuñalada
2018,Enero,Tolima,Conocido,37,Vivienda de la victima,Apuñalada
2018,Enero,Norte de Santander,Victimario Desconocido,29,Vivienda de la victima,Apuñalada
2018,Enero,Guajira,Excompañero permanente,29,Vivienda de la victima,Asfixiada
2018,Enero,Atlantico,Compañero permanente,35,Vivienda de la victima,Baleada
2018,Enero,Antioquia,Compañero permanente,29,Vivienda de la victima,Baleada
2018,Enero,Norte de Santander,Victimario Desconocido,18,Vivienda de la victima,Baleada
2018,Enero,Cauca,Victimario Desconocido,30,Vivienda de la victima,Baleada
2018,Enero,Santander,Victimario Desconocido,43,Vivienda de la victima,Degollada
2018,Enero,Cordoba,Victimario Desconocido,29,Vivienda de la victima,Metodo Desconocido
2018,Enero,Norte de Santander,Victimario Desconocido,29,Vivienda de la victima,Golpeada
2018,Enero,Bogota,Excompañero permanente,23,Vivienda de la victima,Apuñalada
2018,Enero,Cundinamarca,Conocido,37,Vivienda de la victima,Apuñalada
2018,Enero,Antioquia,Excompañero permanente,20,Vivienda de la victima,Baleada
2018,Enero,Bolivar,Excompañero permanente,29,Vivienda del victimario,Baleada
2018,Enero,Choco,Excompañero permanente,29,Vivienda del victimario,Estrangulada
2018,Enero,Choco,Novio,33,Vivienda del victimario,Baleada
2018,Enero,Cauca,Conocido,29,Zona rural,Apuñalada
2018,Enero,Antioquia,Conyuge,19,Zona rural,Apuñalada
2018,Enero,Huila,Conyuge,42,Zona rural,Apuñalada
2018,Enero,Huila,Sicario,56,Zona verde urbana,Mutilada
2018,Enero,Antioquia,Sicario,44,Zona verde urbana,Baleada
2018,Enero,Meta,Sicario,28,Zona verde urbana,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,38,Vivienda de la victima,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,31,En una calle del barrio de la victima,Apuñalada
2018,Febrero,Valle del Cauca,Victimario Desconocido,29,Via urbana,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,33,Lugar Desconocido,Asfixiada
2018,Febrero,Valle del Cauca,Victimario Desconocido,13,Local comercial,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,27,Vivienda de la victima,Golpeada
2018,Febrero,Valle del Cauca,Victimario Desconocido,29,Local comercial,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,73,Zona rural,Apuñalada
2018,Febrero,Valle del Cauca,Victimario Desconocido,23,En una calle del barrio de la victima,Baleada
2018,Febrero,Valle del Cauca,Victimario Desconocido,72,Vivienda de la victima,Baleada
